College,Stream,Category,Closing_Rank
IIT-Bhub,CSE,Open,2783
IIT-Bhub,CSE,OBC,1135
IIT-Bhub,CSE,SC,606
IIT-Bhub,CSE,ST,468
IIT-Bhub,Civil,Open,7066
IIT-Bhub,Civil,OBC,2487
IIT-Bhub,Civil,SC,1178
IIT-Bhub,Civil,ST,416
IIT-Bhub,EE,Open,5059
IIT-Bhub,EE,OBC,1891
IIT-Bhub,EE,SC,979
IIT-Bhub,EE,ST,541
IIT-Bhub,MECH,Open,5716
IIT-Bhub,MECH,OBC,1900
IIT-Bhub,MECH,SC,1122
IIT-Bhub,MECH,ST,651
IIT-B,CSE,Open,60
IIT-B,CSE,OBC,44
IIT-B,CSE,SC,26
IIT-B,CSE,ST,15
IIT-B,Civil,Open,2251
IIT-B,Civil,OBC,1007
IIT-B,Civil,SC,441
IIT-B,Civil,ST,108
IIT-B,EE,Open,227
IIT-B,EE,OBC,162
IIT-B,EE,SC,81
IIT-B,EE,ST,45
IIT-B,MECH,Open,777
IIT-B,MECH,OBC,371
IIT-B,MECH,SC,164
IIT-B,MECH,ST,117
IIT-D,CSE,Open,115
IIT-D,CSE,OBC,62
IIT-D,CSE,SC,43
IIT-D,CSE,ST,19
IIT-D,Civil,Open,2618
IIT-D,Civil,OBC,1018
IIT-D,Civil,SC,400
IIT-D,Civil,ST,47
IIT-D,EE,Open,403
IIT-D,EE,OBC,226
IIT-D,EE,SC,122
IIT-D,EE,ST,77
IIT-D,MECH,Open,907
IIT-D,MECH,OBC,434
IIT-D,MECH,SC,178
IIT-D,MECH,ST,107
IIT-M,CSE,Open,173
IIT-M,CSE,OBC,93
IIT-M,CSE,SC,58
IIT-M,CSE,ST,23
IIT-M,Civil,Open,3703
IIT-M,Civil,OBC,1374
IIT-M,Civil,SC,619
IIT-M,Civil,ST,178
IIT-M,EE,Open,606
IIT-M,EE,OBC,344
IIT-M,EE,SC,196
IIT-M,EE,ST,113
IIT-M,MECH,Open,1246
IIT-M,MECH,OBC,512
IIT-M,MECH,SC,248
IIT-M,MECH,ST,158
IIT-Kh,CSE,Open,286
IIT-Kh,CSE,OBC,149
IIT-Kh,CSE,SC,86
IIT-Kh,CSE,ST,30
IIT-Kh,Civil,Open,3788
IIT-Kh,Civil,OBC,1349
IIT-Kh,Civil,SC,671
IIT-Kh,Civil,ST,240
IIT-Kh,EE,Open,1190
IIT-Kh,EE,OBC,516
IIT-Kh,EE,SC,273
IIT-Kh,EE,ST,170
IIT-Kh,MECH,Open,1560
IIT-Kh,MECH,OBC,624
IIT-Kh,MECH,SC,277
IIT-Kh,MECH,ST,198
IIT-K,CSE,Open,230
IIT-K,CSE,OBC,125
IIT-K,CSE,SC,83
IIT-K,CSE,ST,55
IIT-K,Civil,Open,3333
IIT-K,Civil,OBC,1251
IIT-K,Civil,SC,641
IIT-K,Civil,ST,179
IIT-K,EE,Open,798
IIT-K,EE,OBC,433
IIT-K,EE,SC,240
IIT-K,EE,ST,165
IIT-K,MECH,Open,1394
IIT-K,MECH,OBC,603
IIT-K,MECH,SC,347
IIT-K,MECH,ST,197
IIT-I,CSE,Open,1411
IIT-I,CSE,OBC,676
IIT-I,CSE,SC,427
IIT-I,CSE,ST,345
IIT-I,Civil,Open,6561
IIT-I,Civil,OBC,2371
IIT-I,Civil,SC,1234
IIT-I,Civil,ST,354
IIT-I,EE,Open,3577
IIT-I,EE,OBC,1686
IIT-I,EE,SC,890
IIT-I,EE,ST,403
IIT-I,MECH,Open,4434
IIT-I,MECH,OBC,1776
IIT-I,MECH,SC,1206
IIT-I,MECH,ST,557
IIT-BHU,CSE,Open,772
IIT-BHU,CSE,OBC,410
IIT-BHU,CSE,SC,246
IIT-BHU,CSE,ST,250
IIT-BHU,Civil,Open,5185
IIT-BHU,Civil,OBC,1868
IIT-BHU,Civil,SC,1050
IIT-BHU,Civil,ST,296
IIT-BHU,EE,Open,2814
IIT-BHU,EE,OBC,1145
IIT-BHU,EE,SC,670
IIT-BHU,EE,ST,315
IIT-BHU,MECH,Open,3800
IIT-BHU,MECH,OBC,1318
IIT-BHU,MECH,SC,844
IIT-BHU,MECH,ST,371
IIT-R,CSE,Open,482
IIT-R,CSE,OBC,230
IIT-R,CSE,SC,127
IIT-R,CSE,ST,142
IIT-R,Civil,Open,3917
IIT-R,Civil,OBC,1429
IIT-R,Civil,SC,722
IIT-R,Civil,ST,200
IIT-R,EE,Open,1833
IIT-R,EE,OBC,746
IIT-R,EE,SC,478
IIT-R,EE,ST,239
IIT-R,MECH,Open,2426
IIT-R,MECH,OBC,892
IIT-R,MECH,SC,464
IIT-R,MECH,ST,297
IIT-Guwahati,CSE,Open,666
IIT-Guwahati,CSE,OBC,385
IIT-Guwahati,CSE,SC,186
IIT-Guwahati,CSE,ST,203
IIT-Guwahati,Civil,Open,5371
IIT-Guwahati,Civil,OBC,1755
IIT-Guwahati,Civil,SC,1012
IIT-Guwahati,Civil,ST,303
IIT-Guwahati,ECE,Open,1873
IIT-Guwahati,ECE,OBC,845
IIT-Guwahati,ECE,SC,667
IIT-Guwahati,ECE,ST,364
IIT-Guwahati,MECH,Open,3052
IIT-Guwahati,MECH,OBC,1090
IIT-Guwahati,MECH,SC,715
IIT-Guwahati,MECH,ST,317
