College,Stream,Category,Closing_Rank
IIT-Bhub,CSE,Open,2695
IIT-Bhub,CSE,OBC,1040
IIT-Bhub,CSE,SC,559
IIT-Bhub,CSE,ST,248
IIT-Bhub,Civil,Open,7857
IIT-Bhub,Civil,OBC,2560
IIT-Bhub,Civil,SC,1197
IIT-Bhub,Civil,ST,472
IIT-Bhub,EE,Open,5029
IIT-Bhub,EE,OBC,1725
IIT-Bhub,EE,SC,1033
IIT-Bhub,EE,ST,426
IIT-Bhub,MECH,Open,5522
IIT-Bhub,MECH,OBC,1862
IIT-Bhub,MECH,SC,977
IIT-Bhub,MECH,ST,499
IIT-B,CSE,Open,62
IIT-B,CSE,OBC,45
IIT-B,CSE,SC,22
IIT-B,CSE,ST,15
IIT-B,Civil,Open,2308
IIT-B,Civil,OBC,976
IIT-B,Civil,SC,511
IIT-B,Civil,ST,117
IIT-B,EE,Open,266
IIT-B,EE,OBC,158
IIT-B,EE,SC,80
IIT-B,EE,ST,27
IIT-B,MECH,Open,738
IIT-B,MECH,OBC,363
IIT-B,MECH,SC,163
IIT-B,MECH,ST,104
IIT-D,CSE,Open,104
IIT-D,CSE,OBC,67
IIT-D,CSE,SC,35
IIT-D,CSE,ST,25
IIT-D,Civil,Open,2869
IIT-D,Civil,OBC,980
IIT-D,Civil,SC,532
IIT-D,Civil,ST,53
IIT-D,EE,Open,416
IIT-D,EE,OBC,203
IIT-D,EE,SC,106
IIT-D,EE,ST,43
IIT-D,MECH,Open,944
IIT-D,MECH,OBC,452
IIT-D,MECH,SC,188
IIT-D,MECH,ST,60
IIT-M,CSE,Open,177
IIT-M,CSE,OBC,80
IIT-M,CSE,SC,54
IIT-M,CSE,ST,22
IIT-M,Civil,Open,3632
IIT-M,Civil,OBC,1203
IIT-M,Civil,SC,672
IIT-M,Civil,ST,214
IIT-M,EE,Open,641
IIT-M,EE,OBC,259
IIT-M,EE,SC,216
IIT-M,EE,ST,103
IIT-M,MECH,Open,1222
IIT-M,MECH,OBC,520
IIT-M,MECH,SC,271
IIT-M,MECH,ST,149
IIT-Kh,CSE,Open,262
IIT-Kh,CSE,OBC,127
IIT-Kh,CSE,SC,77
IIT-Kh,CSE,ST,40
IIT-Kh,Civil,Open,4071
IIT-Kh,Civil,OBC,1346
IIT-Kh,Civil,SC,699
IIT-Kh,Civil,ST,208
IIT-Kh,EE,Open,1174
IIT-Kh,EE,OBC,451
IIT-Kh,EE,SC,264
IIT-Kh,EE,ST,111
IIT-Kh,MECH,Open,1578
IIT-Kh,MECH,OBC,675
IIT-Kh,MECH,SC,327
IIT-Kh,MECH,ST,147
IIT-K,CSE,Open,206
IIT-K,CSE,OBC,116
IIT-K,CSE,SC,75
IIT-K,CSE,ST,48
IIT-K,Civil,Open,3533
IIT-K,Civil,OBC,1246
IIT-K,Civil,SC,667
IIT-K,Civil,ST,190
IIT-K,EE,Open,816
IIT-K,EE,OBC,378
IIT-K,EE,SC,263
IIT-K,EE,ST,145
IIT-K,MECH,Open,1409
IIT-K,MECH,OBC,623
IIT-K,MECH,SC,321
IIT-K,MECH,ST,163
IIT-I,CSE,Open,1500
IIT-I,CSE,OBC,594
IIT-I,CSE,SC,351
IIT-I,CSE,ST,309
IIT-I,Civil,Open,7258
IIT-I,Civil,OBC,2292
IIT-I,Civil,SC,1125
IIT-I,Civil,ST,395
IIT-I,EE,Open,3770
IIT-I,EE,OBC,1550
IIT-I,EE,SC,938
IIT-I,EE,ST,407
IIT-I,MECH,Open,4771
IIT-I,MECH,OBC,1706
IIT-I,MECH,SC,992
IIT-I,MECH,ST,409
IIT-BHU,CSE,Open,935
IIT-BHU,CSE,OBC,394
IIT-BHU,CSE,SC,239
IIT-BHU,CSE,ST,180
IIT-BHU,Civil,Open,6026
IIT-BHU,Civil,OBC,1873
IIT-BHU,Civil,SC,983
IIT-BHU,Civil,ST,353
IIT-BHU,EE,Open,3296
IIT-BHU,EE,OBC,1119
IIT-BHU,EE,SC,644
IIT-BHU,EE,ST,307
IIT-BHU,MECH,Open,4086
IIT-BHU,MECH,OBC,1320
IIT-BHU,MECH,SC,792
IIT-BHU,MECH,ST,344
IIT-R,CSE,Open,449
IIT-R,CSE,OBC,202
IIT-R,CSE,SC,132
IIT-R,CSE,ST,98
IIT-R,Civil,Open,4582
IIT-R,Civil,OBC,1435
IIT-R,Civil,SC,789
IIT-R,Civil,ST,213
IIT-R,EE,Open,1905
IIT-R,EE,OBC,742
IIT-R,EE,SC,419
IIT-R,EE,ST,226
IIT-R,MECH,Open,2343
IIT-R,MECH,OBC,885
IIT-R,MECH,SC,470
IIT-R,MECH,ST,258
IIT-Guwahati,CSE,Open,670
IIT-Guwahati,CSE,OBC,338
IIT-Guwahati,CSE,SC,197
IIT-Guwahati,CSE,ST,151
IIT-Guwahati,Civil,Open,5284
IIT-Guwahati,Civil,OBC,1784
IIT-Guwahati,Civil,SC,958
IIT-Guwahati,Civil,ST,308
IIT-Guwahati,ECE,Open,1987
IIT-Guwahati,ECE,OBC,764
IIT-Guwahati,ECE,SC,530
IIT-Guwahati,ECE,ST,321
IIT-Guwahati,MECH,Open,2923
IIT-Guwahati,MECH,OBC,1056
IIT-Guwahati,MECH,SC,657
IIT-Guwahati,MECH,ST,296
