College,Stream,Category,Opening_Rank,Closing_Rank
IIT-Bhub,CSE,Open,1497,2783
IIT-Bhub,CSE,OBC,768,1135
IIT-Bhub,CSE,SC,299,606
IIT-Bhub,CSE,ST,291,468
IIT-Bhub,Civil,Open,3533,7066
IIT-Bhub,Civil,OBC,1829,2487
IIT-Bhub,Civil,SC,663,1178
IIT-Bhub,Civil,ST,331,416
IIT-Bhub,EE,Open,2933,5059
IIT-Bhub,EE,OBC,1361,1891
IIT-Bhub,EE,SC,715,979
IIT-Bhub,EE,ST,146,541
IIT-Bhub,MECH,Open,3372,5716
IIT-Bhub,MECH,OBC,1375,1900
IIT-Bhub,MECH,SC,689,1122
IIT-Bhub,MECH,ST,289,651
IIT-B,CSE,Open,1,60
IIT-B,CSE,OBC,8,44
IIT-B,CSE,SC,2,26
IIT-B,CSE,ST,1,15
IIT-B,Civil,Open,897,2251
IIT-B,Civil,OBC,356,1007
IIT-B,Civil,SC,76,441
IIT-B,Civil,ST,57,108
IIT-B,EE,Open,22,227
IIT-B,EE,OBC,64,162
IIT-B,EE,SC,18,81
IIT-B,EE,ST,19,45
IIT-B,MECH,Open,26,777
IIT-B,MECH,OBC,104,371
IIT-B,MECH,SC,33,164
IIT-B,MECH,ST,29,117
IIT-D,CSE,Open,24,115
IIT-D,CSE,OBC,33,62
IIT-D,CSE,SC,23,43
IIT-D,CSE,ST,12,19
IIT-D,Civil,Open,767,2618
IIT-D,Civil,OBC,395,1018
IIT-D,Civil,SC,153,400
IIT-D,Civil,ST,14,47
IIT-D,EE,Open,80,403
IIT-D,EE,OBC,63,226
IIT-D,EE,SC,16,122
IIT-D,EE,ST,3,77
IIT-D,MECH,Open,247,907
IIT-D,MECH,OBC,255,434
IIT-D,MECH,SC,20,178
IIT-D,MECH,ST,51,107
IIT-M,CSE,Open,62,173
IIT-M,CSE,OBC,38,93
IIT-M,CSE,SC,14,58
IIT-M,CSE,ST,7,23
IIT-M,Civil,Open,1005,3703
IIT-M,Civil,OBC,844,1374
IIT-M,Civil,SC,175,619
IIT-M,Civil,ST,63,178
IIT-M,EE,Open,189,606
IIT-M,EE,OBC,156,344
IIT-M,EE,SC,25,196
IIT-M,EE,ST,84,113
IIT-M,MECH,Open,535,1246
IIT-M,MECH,OBC,240,512
IIT-M,MECH,SC,46,248
IIT-M,MECH,ST,76,158
IIT-Kh,CSE,Open,181,286
IIT-Kh,CSE,OBC,48,149
IIT-Kh,CSE,SC,30,86
IIT-Kh,CSE,ST,24,30
IIT-Kh,Civil,Open,2545,3788
IIT-Kh,Civil,OBC,714,1349
IIT-Kh,Civil,SC,335,671
IIT-Kh,Civil,ST,86,240
IIT-Kh,EE,Open,138,1190
IIT-Kh,EE,OBC,424,516
IIT-Kh,EE,SC,161,273
IIT-Kh,EE,ST,61,170
IIT-Kh,MECH,Open,622,1560
IIT-Kh,MECH,OBC,347,624
IIT-Kh,MECH,SC,88,277
IIT-Kh,MECH,ST,54,198
IIT-K,CSE,Open,113,230
IIT-K,CSE,OBC,65,125
IIT-K,CSE,SC,29,83
IIT-K,CSE,ST,21,55
IIT-K,Civil,Open,1571,3333
IIT-K,Civil,OBC,716,1251
IIT-K,Civil,SC,429,641
IIT-K,Civil,ST,108,179
IIT-K,EE,Open,248,798
IIT-K,EE,OBC,177,433
IIT-K,EE,SC,144,240
IIT-K,EE,ST,93,165
IIT-K,MECH,Open,841,1394
IIT-K,MECH,OBC,292,603
IIT-K,MECH,SC,95,347
IIT-K,MECH,ST,50,197
IIT-I,CSE,Open,933,1411
IIT-I,CSE,OBC,430,676
IIT-I,CSE,SC,365,427
IIT-I,CSE,ST,74,345
IIT-I,Civil,Open,4626,6561
IIT-I,Civil,OBC,1780,2371
IIT-I,Civil,SC,983,1234
IIT-I,Civil,ST,342,354
IIT-I,EE,Open,1730,3577
IIT-I,EE,OBC,1329,1686
IIT-I,EE,SC,697,890
IIT-I,EE,ST,299,403
IIT-I,MECH,Open,2549,4434
IIT-I,MECH,OBC,1337,1776
IIT-I,MECH,SC,512,1206
IIT-I,MECH,ST,399,557
IIT-BHU,CSE,Open,500,772
IIT-BHU,CSE,OBC,225,410
IIT-BHU,CSE,SC,135,246
IIT-BHU,CSE,ST,125,250
IIT-BHU,Civil,Open,3288,5185
IIT-BHU,Civil,OBC,1358,1868
IIT-BHU,Civil,SC,705,1050
IIT-BHU,Civil,ST,226,296
IIT-BHU,EE,Open,1760,2814
IIT-BHU,EE,OBC,449,1145
IIT-BHU,EE,SC,457,670
IIT-BHU,EE,ST,239,315
IIT-BHU,MECH,Open,2293,3800
IIT-BHU,MECH,OBC,641,1318
IIT-BHU,MECH,SC,564,844
IIT-BHU,MECH,ST,280,371
IIT-R,CSE,Open,294,482
IIT-R,CSE,OBC,127,230
IIT-R,CSE,SC,90,127
IIT-R,CSE,ST,67,142
IIT-R,Civil,Open,1877,3917
IIT-R,Civil,OBC,1014,1429
IIT-R,Civil,SC,497,722
IIT-R,Civil,ST,101,200
IIT-R,EE,Open,1108,1833
IIT-R,EE,OBC,435,746
IIT-R,EE,SC,119,478
IIT-R,EE,ST,192,239
IIT-R,MECH,Open,1376,2426
IIT-R,MECH,OBC,624,892
IIT-R,MECH,SC,237,464
IIT-R,MECH,ST,197,297
IIT-Guwahati,CSE,Open,406,666
IIT-Guwahati,CSE,OBC,236,385
IIT-Guwahati,CSE,SC,91,186
IIT-Guwahati,CSE,ST,59,203
IIT-Guwahati,Civil,Open,3641,5371
IIT-Guwahati,Civil,OBC,1397,1755
IIT-Guwahati,Civil,SC,704,1012
IIT-Guwahati,Civil,ST,224,303
IIT-Guwahati,ECE,Open,1202,1873
IIT-Guwahati,ECE,OBC,605,845
IIT-Guwahati,ECE,SC,439,667
IIT-Guwahati,ECE,ST,203,364
IIT-Guwahati,MECH,Open,2160,3052
IIT-Guwahati,MECH,OBC,803,1090
IIT-Guwahati,MECH,SC,314,715
IIT-Guwahati,MECH,ST,260,317
